"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","PC - Population and Housing Census","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2010",39.43,,,"Job coverage: Main job currently held","Data reference period: September"
"Afghanistan","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",39.6,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Angola","LFS - Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",43.45,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",41.33,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",50.82,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",36.57,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Armenia","HIES - Households Living Conditions Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2018",38.8,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Antigua and Barbuda","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2018",40.57,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",32.29,,,"Employment definition: Excluding own-use production workers","Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Austria","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",33.46,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Azerbaijan","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",34.43,,,"Employment definition: Excluding own-use production workers","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Burundi","HIES - Living Standards Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2014",40.27,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",34.31,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2011",41.55,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HIES - Continuous Multisectoral Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2014",46.3,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",46.73,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",38.69,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Bahamas","LFS - Labour Force & Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",39.2,,,"Central tendency measure: Mean or mean of the midpoints of the intervals provided | Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",41.04,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Belarus","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",39.1,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belize","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",39,,,"Employment definition: Excluding own-use production workers | Central tendency measure: Median","Data reference period: September | Population coverage: Excluding institutional population"
"Bermuda","PC - Census of Population & Housing","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2010",41.8,,,"Job coverage: Main job currently held","Population coverage: Excluding institutional population"
"Bolivia, Plurinational State of","LFS - Continuous Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",37.31,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
